SNo,Brief Description of the grievance,Category,Label
72,ककन्चो बिनायक मार्ग शिक्षा किताबखाना भएको क्षेत्रमा घरपालुवा कुकुरलाइ विहान विहान बाहिर बाटोमा ल्याएर दिसापिसाब गराउने गर्छन जसले गर्दा फोहोर धेरै हुन्छ। एक पटक यस क्षेत्रमा पनि अनुगमन गरि कारबाहि गर्न अनुरोध छ।,नगर प्रहरी,genuine
73,सार्वजनिक प्रतीक्षालयमा मानिसहरू धेरै गफ गर्छन्। उनीहरूलाई चुप लगाउनुपर्छ।,Public Infrastructure,not_genuine
74,न्युरोड २४मा पसल अगाडि इटाहरुको चाङ राखेर फुटपाथ अवरुद्ध भयो ।,नगर प्रहरी,genuine
75,गंगा स्कुल र LRI स्कुलले आफुले भनेको  स्टेशनरिबाट मात्र स्टेशनरिको छाप लगाएको पुस्तक मात्र हुने र अरु स्टेशनरिको पुस्तक फिर्ता गरिदिएको छ। यस्तो सिन्डिकेट अन्त्य गरिदिनुहुन अनुरोध छ।,शिक्षा,genuine
76,समुन्द्रमा पानी धेरै छ। यसले गर्दा संसार डुब्न सक्छ। पानी घटाउनुपर्छ।,Environment,not_genuine
77,वडा नै १६ खुशुबुमा समय तालिका अनुसार फोहोर लिन नआउदा बाटोभरि फोहोर थुप्रिने गरेको छ। समयतालिका अनुसार फोहोर उठाइदिनुहुन अनुरोध छ। ,वातावरण,genuine
78,My internet is slow. Can you send someone to fix my Wi-Fi router immediately?,Nagar Prahari,not_genuine
79,मेरो कुकुरले मासु मात्रै खान खोज्छ। उसलाई शाकाहारी बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
80,"१२ वडा टेकु भाेटेबहालकाे अपाेजिट बजाज स्वरुमकाे नजिक मिलन मार्गमा जथाभावि  रुपमा  बाइक पार्किङ गरेर बाटाे हिड्न गाराे भयाे हटाइदिनुपर्याे ।
",नगर प्रहरी,genuine
81,The public park has too many trees. It's blocking the sunlight. Please cut some trees.,Public Infrastructure,not_genuine
82,बसुन्धरा चोक भन्दा माथि नारायणगोपाल चोक र चिरायु हस्पिटलको पछाडीसम्म गाडि र मोटरसाइकल पार्किङ्ग गरेर व्यापार समेत गरि राखेका छन।आवश्यक कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
83,"कालोपुल लामो गल्लि पछाडी रहेको चर्च नजिक बाटोमा छापेको व्रिक्स निकालेर त्यसै छाडेको छ। जसले गर्दा आवतजावतमा समस्या भयो। चाडो व्रिक्स बिच्छाइदिनुहुन अनुरोध छ।
कुन निकायबाट काम भएको हो विवरणसहित पठाउदिनुहुन ",सार्वजनिक निरमाण,genuine
84,My son wants a slide from his classroom directly to the playground. Please build it.,Education,not_genuine
85,The public library books are too old. I want new bestsellers only.,Public Infrastructure,not_genuine
86,"कापमा ९ एयरपोर्ट गेट अगाडी रहेको Global IME Bank अगाडी पुरानो घर भत्काउदा आधा बाटो अवरुद्ध भएर जाम भयो । बाटामा रहेको ढुङ्गा, माटो हटाउन लगाउनु पर्यो ।",नगर प्रहरी,genuine
87,My online game account was hacked. Please recover it for me.,Nagar Prahari,not_genuine
88,"The air in my room is too still. Can you send a small, personal breeze?",Environment,not_genuine
89,"कोटेश्वर सहयोगि नगर महादेव स्थानमा पिच बाटो खनेर ठुलो ठुलो खाल्डा त्यसै छाडेको छ। गाडि, ट्याङकर जान सकेको छैन। यसले खानेपानिको रुपमा ट्याङकरको पानि मा निर्भर रहेको यो ठाउँमा एकदमै समस्या भयो। खाल्डो पुरि सहज गरिदिनुहुन अनुरोध छ।",सार्वजनिक निरमाण,genuine
90,"मेरो गाईको नाम 'काली' हो, तर उनी त्यति कालो छैनन्। उनको लागि रङको व्यवस्था गर्नुपर्‍यो।",Agriculture and Livestock,not_genuine
91,वडा ७ कुमारिगालमा  भएको एउटा भुसिया कुकुरमा डीस्टेम्पर देखियो। अन्य कुकुरहरुलाइ डिस्टेम्परको भ्याक्सिन लगाइदिनुहुन अनुरोध छ।,कृषि तथा पशुपंक्षी,genuine
92,स्वयाँभु भगवानपाउ देखी वनस्थलि जाने वाटोमा रहेको ग्यारेज संगै कसैले कुकुर लाई विष दिएर छट पटाई रहेकोछ तुरुन्तै उद्दार गर्नु पर्यो,कृषि तथा पशुपंक्षी,genuine
93,LRI स्कुल गेट निर रहेको Read and Return Stationary सङ्ग मिलेर किताब बेचिरहेको छ | अविभावकलाई बुक लिस्ट दिनुहोस भन्दा पसल रिफर गरेको छ सिधै त्यहाँबाट लिनुहोस् भन्छन | किताब किन्दा दिने छुट माग्दा पसलले स्कुलमा कमिसन दिनु पर्छ त्यसैले छुट दिन मिल्दैन भन्नु भयो | अनुगमन गरिदिनुहुन अनुरोध छ |,शिक्षा,genuine
94,रातोपुल एरियामा ढल खनेर बाटो साघुरो र धुलो उडेर व्यवसाय गर्न साह्रै कठिन भयो। पानि छम्काइदिनुहुन अनुरोध छ।,वातावरण,genuine
95,पसलको हुट नक्शा अनुसार आफ्नौ जग्गामा परेको तथा वर्षातमा पानिले पनि कतै असर नपारेको हुदा पनि महानगरप्रहरीले झिकेर लग्यो। त्यो हुट हामिले पाउछउ कि पाउदैन् भनि गुनासो आएको थियो।,नगर प्रहरी,genuine
96,स्वयम्भु भवन देखि विजेश्वरी जाने बाटाेमा ३/४ ठाउमा कस्ट्रक्सनकाे सामानहरु राखेर बाटाे धुलैधुलाे भएकाे  र हिड्न सारै गाराे  पनि भयाे  छिटाे हटाउन लगाउनुपर्याे । ,नगर प्रहरी,genuine
97,१५ वडा स्वयम्भु पार्क वरीपरी त्रिपाल राखेर सडक व्यापार गर्ने लाई विहान वेलुका मात्रै हटाएको तर दिउसोको समयमा व्यापार गर्नेलाई कीन नहटाएको हटाउनु पर्यो ।,नगर प्रहरी,genuine
98,म्हेपी यरियामा धेरै फोहोरको डुड्गुर छ उठाउनु पर्‍यो,वातावरण,genuine
99,गौशालादेखि पिगंलास्थानको बिचमा रिभाइज पोलिक्लिनिक नजिक ढल फुटेको छ जसले गर्दा असजिलो भयो। ढल बनाइदिनुहुन अनुरोध छ।,वातावरण,genuine
100,Mero kukhura le bihana chito anda dinchha. Dherai chito anda dina rokna paryo.,Agriculture and Livestock,not_genuine
101,My daughter wants a permanent holiday from school. Please approve this.,Education,not_genuine
102,अनामनगर बाजेको सेकुवासंगै रहेको ५ तले घरबाट सामान खसेर बाटोमा हिड्ने बटुवाहरुलाइ चोट लाग्ने गरेको छ। जालि राखि सुरक्षित गराइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
103,My daughter wants a pet dinosaur in school. Please arrange for a large enclosure.,Education,not_genuine
104,ढलको ढकनी धेरै भारी छ। यसलाई हलुका बनाउनुपर्छ।,Public Infrastructure,not_genuine
105,मैतिदेवि चोक पोलिस बिडको अपोजिट साइडमा धेरै फुटपात पसलहरु राख्ने गरेको हुदाँ हिडडुल गर्न गार्हो भएको साथै भारतीय मुलको एउटा पत्र लिएर मान्छेलाइ बिच बिचमा रोकेर माग्ने र पैसा दिनेको नाम र हस्तक्षर गराउने नदिदा खुट्टा ढोकि माग्ने गर्दछ। यसको व्यवस्थापन चाडो होस।,नगर प्रहरी,genuine
106,सडकको छेउमा फुल फुल्दैन। सुन्दर फुल फुलाउने व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
107,सार्वजनिक शौचालयमा साबुन छैन। साबुनको व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
108,जंगलमा जनावरहरू धेरै बस्छन्। तिनीहरूलाई जनसंख्या नियन्त्रण गर्नुपर्छ।,Environment,not_genuine
109,माटो धेरै गिलो भयो। यसलाई सुक्खा बनाउने उपाय चाहियो।,Environment,not_genuine
110,सेतो पुल धोविखोला मार्गमा प्रहरी बिट सँगै मंगालको ढकन बिग्रेको छ। त्यसले त्यो एरियामा धेरै दुर्घटना भयो भन्ने गुनासो आएको छ।,वातावरण,genuine
111,२९ वडा मैतिदेवि कम्पेक्स अगाडि विहान १० देखि ५ बजे सम्म् बाटाेमा पार्किङ गरेर  जाम भइ बाटाे अस्तव्यस्त हुन्छ हटाउनुपर्याे भन्ने गुनासाे आएकाे छ । ,नगर प्रहरी,genuine
112,कोटेश्वरबाट ३ कुन झर्ने बेला इन्द्रेणि फास्ट फुड नजिक हिड्ने बाटोमा वर्क शप खोलेको छ जसले बाटो बन्द भएको छ। वर्क शप हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
113,The new public toilet doesn't have a specific room for meditating. Please add one.,Public Infrastructure,not_genuine
114,मेरो खेतमा फलेको गहुँको बाला धेरै सानो भयो। यसलाई ठूलो बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
115,वडा नं. १३ कालिमाटी तरकारी बजारवाट टंकेश्वर जाने बाटो तिर सडकको फुटपाथ नबनाएको भनि गुनासो आएको ।,सार्वजनिक निरमाण,genuine
116,८ वडा डल्लु  गुहेश्वरी जाने बाटो भत्किएको र सडक खाल्डो परेर आवत जावतमा समस्या सृजना भएको हुँदा तुरुन्त यसको समाधान होस् ।,सार्वजनिक निरमाण,genuine
117,"गौरीघाटमा विधुत प्राधिकरणले तार change गरेर गयो तर काटिएका तारहरु रोडभरी छरिएर रहेकाले लड्ने, दुर्घटना हुने डर छ । उठाइदिनुपर्यो ।",नगर प्रहरी,genuine
118,"ज्याठामा बाटोभरि पसल राखेर बाटो अवरोध भयो, आवतजावतमा समस्या भयो।फुटपाथ पसल हटाइदिनुहुन अनुरोध छ।",नगर प्रहरी,genuine
119,१६ बल्खु तरकारी पसल अगाडी बाटो खाल्डो परेकोले आवत जावतमा निकै असहज गरेको छ यसको छिटो मर्मत होस् भन्ने अनुरोध छ ।,सार्वजनिक निरमाण,genuine
120,Mero bagan ma phool phuldainan. Phool phulaune byawastha garnu paryo.,Environment,not_genuine
121,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
122,का.म.पा.वडा न १ दरबारमार्ग महेन्द्र सालिकको झन्डा भाचिएको हुदा त्यसलाई फेरीदिनु होला |,नगर प्रहरी,genuine
123,My neighbor's plants are growing too tall. They are blocking my view of the sky.,Environment,not_genuine
124,"१२ वडा कामपाकाे पहिलाकाे वातावरण विभाग पछाडि रहेकाे कवाडि हटाउनु पर्याे । 
१२ वडा टेकुकाे टास्फरमरकाे गेटकाे अगाडि वाइक पार्किङ गरेर अस्तव्यस्त भयाे हटाउनुपर्याे। ",नगर प्रहरी,genuine
125,I don't like the smell of rain. Can you make rain smell like vanilla?,Environment,not_genuine
126,अनामनगर भाटभटेनिबाट मैतिदेवि जाने धोविखोला करिडोर नजक मदन भण्डारि कलेज पुलको पश्चिम साइटमा २ रोपनि जग्गामा गुठिले कब्जा गरिको अवस्था छ। साथै अन्य व्यक्तिहरुलाइ पार्किङ पनि गर्न दिदैन। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
127,"जडीबुटिबाट नरेफाट जाने बाटोमा बाटो खाल्डाखुल्डि छ। साथै बाटोको दाया बाया बाटो कब्जा गरेर ठेला गाडँ राख्ने, बाइक पार्किङ गरेर आवतजावत गर्न कठिन भयो। बाटो मर्मत तथा फुटपाथ व्यवस्थापन गरिदिनुहुन अनुरोध छ।",सार्वजनिक निरमाण,genuine
